id,client_id,card_brand,card_number,expires,cvv,credit_limit,acct_open_date,year_pin_last_changed,days_since_last_trx,count_nonfraud_trx_L6M,amt_nonfraud_trx_L6M,count_fraud_trx_L6M,amt_fraud_trx_L6M
0,1362,Amex,393314135668401,04/2030,866,Rp53.189.000,01/1996,2019,17,181.0,Rp177.057.300,,
1,550,Mastercard,5278231764792292,06/2030,396,Rp18.200.000,01/1999,2018,27,148.0,Rp135.687.100,,
2,556,Mastercard,5889825928297675,09/2027,422,Rp31.298.000,01/2000,2016,20,415.0,Rp186.723.300,,
3,1937,Visa,4289888672554714,04/2026,736,Rp25.732.000,01/2000,2020,7,148.0,Rp207.881.500,,
4,1981,Mastercard,5433366978583845,03/2030,530,Rp30.500.000,01/2002,2012,14,48.0,Rp28.007.500,,
5,619,Visa,4657824650820465,04/2030,245,Rp34.334.000,01/2002,2017,17,104.0,Rp65.672.000,,
6,1046,Amex,394584924614148,11/2026,302,Rp14.749.000,02/1999,2016,604,,,,
7,511,Mastercard,5585238056278288,08/2029,749,Rp15.163.000,01/2003,2016,604,,,,
8,1107,Mastercard,5462760953855576,09/2027,665,Rp16.161.000,01/2003,2011,18,242.0,Rp180.217.100,,
9,1046,Amex,357982644067712,09/2026,72,Rp20.397.000,01/2004,2010,10,289.0,Rp162.598.100,,
10,1783,Mastercard,"5,51321E+15",12/2029,789,Rp26.041.000,01/2004,2014,20,433.0,Rp154.058.100,,
11,1579,Mastercard,5927292790575653,11/2029,964,Rp3.362.000,01/2004,2018,3,87.0,Rp32.545.900,,
12,1156,Visa,4008696033204121,02/2029,124,Rp89.747.000,01/2004,2016,11,120.0,Rp223.971.800,,
13,858,Mastercard,5106045376475662,03/2027,686,Rp22.907.000,01/2005,2017,12,169.0,Rp72.520.000,,
14,641,Mastercard,5206583278012757,07/2027,19,Rp38.941.000,01/2005,2016,25,328.0,Rp164.160.400,,
15,1228,Mastercard,5047012325844667,09/2030,300,Rp9.361.000,01/2005,2025,13,161.0,Rp63.033.700,,
16,1201,Visa,4817273521248161,10/2029,706,Rp87.382.000,01/2005,2011,1,129.0,Rp194.584.700,,
17,804,Visa,4214048661117547,07/2028,799,Rp29.409.000,01/2005,2015,21,303.0,Rp111.148.600,,
18,11,Mastercard,5919854740342964,05/2029,604,Rp28.713.000,11/2004,2016,604,,,,
19,115,Mastercard,5610743457688598,01/2029,310,Rp72.463.000,01/2006,2019,6,114.0,Rp116.174.400,,
20,1728,Visa,4665365862082531,06/2027,412,Rp5.962.000,01/2006,2008,25,56.0,Rp72.816.000,,
21,1596,Visa,4262822146225767,07/2027,826,Rp10.355.000,01/2006,2015,19,46.0,Rp38.951.300,,
